bead_index,peak_z,peak_y,peak_x,centroid_z_um,centroid_y_um,centroid_x_um,fwhm_z_um,fwhm_y_um,fwhm_x_um,fwhm_pca1_um,fwhm_pca2_um,fwhm_pca3_um,pca_axis1,pca_axis2,pca_axis3,tilt_angle_y_deg,tilt_angle_x_deg,skew_pc1,kurt_pc1,snr,vol_ratio_05_01,pc1_z_angle_deg,astig_um
42,688,1421,722,7.995697505581856,2.01022317578258,1.9921432700454673,4.6000000000000005,1.0,0.30000000000000004,3.316582914572864,0.6030150753768844,0.3517587939698492,"[-0.8222366453704998, -0.5686908729356648, -0.022750605476306064]","[-0.5560056235813433, 0.8111511496982876, -0.18136030130397293]","[-0.1215921278528694, 0.1364716211628551, 0.9831535236479572]",0.7040665774353425,0.07868997512529409,0.0060548247057233264,-0.9339286362538948,367.8445715967537,0.08813403718154694,34.69067863673323,0.25125628140703515
43,171,1434,498,8.048461854415562,2.016422055197292,2.0087474637291645,5.0,3.8000000000000003,0.4,3.467336683417085,0.5527638190954773,0.3517587939698492,"[-0.8324103678404122, -0.5540762884815478, -0.009614887118534523]","[-0.5388445772304673, 0.813334322849456, -0.21939416779927548]","[-0.12938122391254772, 0.1774450501353307, 0.9755889262806141]",0.833973823327683,0.027417420443760172,0.028884943938879193,-0.942464502582185,391.8648080990285,0.06721105527638191,33.65285688963303,0.20100502512562812
44,337,1417,870,8.074970205879678,2.0176413499451047,2.0069665595959325,4.5,3.3000000000000003,0.30000000000000004,3.9698492462311554,0.5527638190954773,0.3517587939698492,"[-0.8363617024147147, -0.5479398770634343, -0.01615530431989268]","[-0.5260650808896777, 0.8105611749897638, -0.25738320121513325]","[-0.1541253820838627, 0.20676671086739618, 0.9661743599757663]",0.8228165418919179,-0.01665984216632245,0.03224215084593162,-0.9408329635847599,360.2990901038441,0.07912178956089479,33.242104672916355,0.20100502512562812
45,57,1406,1758,6.573857986154008,2.020002661999881,1.9928217355400581,5.0,3.5,0.4,6.130653266331658,0.5025125628140703,0.3517587939698492,"[-0.8171556605288675, -0.5752362896549283, -0.036875974965567576]","[-0.5078360196396932, 0.7487219897458313, -0.42604924507333186]","[-0.2726888402963039, 0.3294216039288772, 0.9039481197739078]",1.4508596848847286,0.12506758628670434,-0.11897959977095071,-0.8911256311595106,493.8991445221572,0.12876614060258249,35.19893025352217,0.1507537688442211
46,454,1396,1665,8.040692515289228,2.016824731946127,1.9851865272429077,5.300000000000001,1.1,0.4,5.07537688442211,0.4522613065326633,0.4522613065326633,"[-0.8312459871258582, -0.554701587993439, -0.03655485145250219]","[-0.38931584594170515, 0.5339461220316587, 0.7505562676215873]","[-0.3968164323536161, 0.6381282684891105, -0.659794689255103]",0.964857641336451,0.049837079915207826,0.022559549008735295,-0.8960871407087398,504.52673660819744,0.09857253086419752,33.773055450919145,0.0
47,189,1418,1518,7.793198389421597,2.0696117041446,2.01792658191553,5.5,1.5,0.4,0.9547738693467336,0.6532663316582914,0.40201005025125625,"[-0.9857243100573263, -0.11884070604993643, 0.11926638733340145]","[-0.08790722699734549, 0.9674204881245765, 0.237423500518469]","[-0.14359632308539633, 0.22354973885549212, -0.9640568501151764]",0.22014950140847114,-0.5763833565373047,-0.03002209366662919,-0.8842050972946933,68.22916016729802,0.08594858855070178,9.692910343078127,0.25125628140703515
48,555,1376,698,8.115787752614748,2.0179552698250145,2.0100411869127752,5.300000000000001,3.6,0.4,3.7688442211055273,0.5527638190954773,0.40201005025125625,"[-0.8810110262777531, -0.469386826865759, -0.0591234161894793]","[-0.4181619814825616, 0.8310569157482663, -0.36672191103008345]","[-0.22126935806748776, 0.2983628823293419, 0.9284500318426021]",0.8523717569660665,0.2879117918014821,0.038913842218120415,-0.9066987537568103,203.57792461438305,0.10311392877121014,28.235435573339768,0.1507537688442211
49,358,1472,1143,7.972563806737405,1.9795092367945122,1.9842754869387034,4.6000000000000005,1.8,0.4,3.015075376884422,0.5527638190954773,0.3517587939698492,"[-0.835332230581062, -0.5493107691152863, -0.02185734399327001]","[-0.5372479008655368, 0.8241263156649025, -0.17938926624569307]","[-0.11655366818784248, 0.13810682373643463, 0.9835353311749362]",0.8083040356298985,0.029291677343181017,-0.02674229193737966,-0.9210936839123636,449.0060783653965,0.08952468850946008,33.34955182600855,0.20100502512562812
50,618,1341,1582,8.144605865427634,2.0887132881650086,1.9895655901756983,2.9000000000000004,2.6,0.5,2.0100502512562812,0.6030150753768844,0.40201005025125625,"[-0.8298347984131862, -0.5573049098940734, -0.02802578724151189]","[-0.5343160110016558, 0.7791172919007062, 0.32784546031413847]","[0.1608745092605597, -0.2870321983145268, 0.9443155772308878]",0.5802723140217668,0.021108131683147607,0.11010959016732114,-0.9063869956310371,371.69465240905663,0.05999155048584706,33.918228454294464,0.20100502512562812
51,320,1292,1232,7.999463412283238,1.9661852969631022,1.978063869831787,0.5,1.6,1.0,1.0050251256281406,1.0552763819095476,0.4522613065326633,"[0.39517671850859587, 0.9183394369117925, 0.02209162197100162]","[0.23645446782028812, -0.07845271699304125, -0.9684701625988457]","[0.8876511960204876, -0.38794052354573805, 0.24814815009275465]",0.08401983157101162,-0.051914738191677,0.033616021649967034,-0.3886514886091721,191.8124615550787,0.075031328320802,66.72300400353633,0.6030150753768844
52,778,1471,633,5.780872882447333,1.9296707524718568,1.968160984449363,4.800000000000001,3.4000000000000004,0.4,0.1507537688442211,7.085427135678391,0.6030150753768844,"[-0.8125224493599424, -0.5825107680632065, 0.022101456434658735]","[-0.22522394139457785, 0.3486750555066433, 0.9097801283222946]","[-0.5376629478667949, 0.7342390011146593, -0.41450168121894987]",1.2144604694227086,-0.6440367580584138,0.18074035028221444,-0.8826678951211964,52.18856093016115,0.0915152908714647,35.65688122319026,6.482412060301507
53,776,1378,1119,6.123962314180877,2.05127420059789,1.9986164847846088,3.7,2.7,0.5,0.25125628140703515,5.175879396984924,0.6030150753768844,"[-0.7971159800368872, -0.6035644950447843, -0.017776802051202235]","[-0.02315144989887134, 0.0011305580812345124, 0.9997313300112213]","[-0.6033822376714555, 0.797313377637526, -0.014874579080678763]",2.0306920230695593,0.043592121830297155,0.3081014227998309,-0.8760930639056101,46.0122802171042,0.05557189062040576,37.14442540052873,4.57286432160804
54,649,1333,1707,8.202519245043225,2.110769892922598,1.9973301993092165,3.3000000000000003,2.6,0.7000000000000001,3.065326633165829,0.6030150753768844,0.6030150753768844,"[-0.8189703884680138, -0.5731944734758633, -0.027121917138698822]","[-0.17722335199344827, 0.2076943241328357, 0.962005691891275]","[-0.5457832777950942, 0.7926608122644465, -0.2716789472511823]",0.6222087148163782,0.008960195994043057,0.15908434487274192,-0.7729466538632646,344.88300329943013,0.06271907861792689,35.01814188768003,0.0
55,651,1369,2081,8.75953727891326,2.0330362937848996,1.8240260675678337,6.7,1.8,2.1,0.40201005025125625,0.7035175879396984,0.5025125628140703,"[-0.9667725490502199, -0.06522613016124884, 0.2471768402321054]","[0.027737762904607548, 0.9344279003424965, 0.3550705782947401]","[-0.25412881558766154, 0.35012862066060957, -0.9015700161841625]",0.5866457342843442,-2.1654402423033186,0.22946448767253216,-1.0207008519177385,38.15855453904338,0.0263042525208242,14.811398880370906,0.20100502512562812
56,429,1377,1664,8.120653580962964,2.0744307743640253,1.9897376660757269,3.6,2.9000000000000004,0.4,4.1206030150753765,0.5527638190954773,0.4522613065326633,"[-0.8149995472759793, -0.5788241681258411, -0.027172050592048327]","[-0.5666154548284981, 0.8058740757608106, -0.17179610113781368]","[-0.12133698648575075, 0.12461764084625992, 0.9847577261948592]",0.591639869036618,0.01924868378333899,0.08847814192785305,-0.887545558023616,511.50757666919435,0.11748483177054606,35.41268287535495,0.10050251256281406
