bead_index,peak_z,peak_y,peak_x,centroid_z_um,centroid_y_um,centroid_x_um,fwhm_z_um,fwhm_y_um,fwhm_x_um,fwhm_pca1_um,fwhm_pca2_um,fwhm_pca3_um,pca_axis1,pca_axis2,pca_axis3,tilt_angle_y_deg,tilt_angle_x_deg,skew_pc1,kurt_pc1,snr,vol_ratio_05_01,pc1_z_angle_deg,astig_um
79,1444,391,1856,2.431590537852115,2.0190187965044597,2.001913152170244,2.76,2.4000000000000004,0.30000000000000004,2.914572864321608,0.5527638190954773,0.3015075376884422,"[-0.7648805062168578, -0.6438988023530484, -0.018765487943394037]","[-0.5999235638492216, 0.7226484474545881, -0.3433233737017078]","[-0.23462635987435906, 0.251343497468671, 0.9390297745717777]",0.22737264592833312,0.013636130591163639,-0.010967949896749415,-0.6629312773569542,63.345535524091495,0.00775450506388498,40.103637508973854,0.25125628140703515
80,212,250,1490,2.4570654215367895,2.017420728397121,2.01253028282663,3.27,2.6,0.30000000000000004,5.7286432160804015,0.6532663316582914,0.3517587939698492,"[-0.7602468351274839, -0.6492312829457407, -0.022879924022421023]","[-0.6478693803819718, 0.7603053946716597, -0.0469145264992786]","[-0.047854107891843, 0.02084341809298853, 0.9986368390361315]",0.4466536787870937,0.03262954801157831,0.014569098840259958,-0.6958028767245872,36.22626645882563,0.03435760355102141,40.51403683807243,0.3015075376884422
81,244,915,743,2.2417028054328982,1.9366838787018805,2.02314621342375,3.1799999999999997,2.6,0.9,5.879396984924623,1.1557788944723617,0.5527638190954773,"[-0.775146360689894, -0.6317762016149268, 0.002636395688864151]","[0.1600679708614723, -0.19235227690425177, 0.9681832710153802]","[-0.6111680327156388, 0.7509057415167132, 0.25022830204381535]",0.785718927053882,0.018244588829381993,-0.05304662171821384,-0.723316238127877,23.700074631434045,0.035476247890040995,39.18169597726484,0.6030150753768844
82,1577,298,1256,2.3087563014817145,1.9387477665181967,1.9981693532971723,2.85,2.6,0.4,5.7788944723618085,0.7537688442211055,0.3517587939698492,"[-0.7245653389730627, -0.6888357192441735, -0.022592508763157354]","[-0.6884066409354982, 0.7249143552241114, -0.02440234222190834]","[-0.03318683887860997, 0.0021282582958027443, 0.9994468991606664]",0.3193685039367252,0.009436362273267919,-0.023129458267396413,-0.6240992492181827,40.37129643792828,0.02360989404923126,43.56729883671542,0.40201005025125625
83,869,404,108,2.3434897948921325,1.957819990585697,1.997607813533438,2.13,1.9000000000000001,0.30000000000000004,2.6130653266331656,0.6030150753768844,0.3015075376884422,"[-0.7333936232113202, -0.6797924672590416, -0.003999361303682208]","[-0.6798034669592148, 0.7333889307830848, 0.0028146962670170398]","[-0.0010196779903824107, -0.004783059973372694, 0.9999880412255373]",0.1840185934710239,0.005860092409729437,-0.05338984591728531,-0.6273781774358147,105.22943634955963,0.023261482745412124,42.828346911579374,0.3015075376884422
84,139,441,1732,2.3625774419708163,1.9911771504881122,2.0063929471083775,1.92,1.8,0.30000000000000004,2.2110552763819094,0.40201005025125625,0.40201005025125625,"[-0.7110113312014618, -0.6971827327490446, -0.09164673512842611]","[-0.5897507716494313, 0.5202522739950153, 0.6176824416655506]","[0.3829581102967081, -0.4932279478695327, 0.7810693165131914]",0.15187657913937386,-0.027180521109470075,-0.004858098510609842,-0.5882661610462314,65.43551155543122,0.005746614631079913,44.68274030392901,0.0
85,287,332,204,2.381269498282823,1.9852844988792506,1.9973836625158086,1.53,1.9000000000000001,0.30000000000000004,2.2110552763819094,0.6532663316582914,0.3015075376884422,"[-0.7237995912128318, -0.689911664202647, -0.011663934039228158]","[-0.6899779909268345, 0.7238258006637075, 0.0025656052135906455]","[-0.006672615432237683, -0.009904841779500179, 0.9999286826132235]",0.1477940181388288,0.003970911973268106,0.011820494166100193,-0.582195532282757,125.44518974729851,0.022026161184008516,43.63092063133839,0.3517587939698492
86,1132,487,1320,2.400537832617196,1.9929838842921965,1.9931156702565271,1.68,1.8,0.4,2.1105527638190953,0.5527638190954773,0.3517587939698492,"[-0.7716371508591064, -0.6357207999187414, -0.020860775745779485]","[-0.5891887747608381, 0.7267443023075836, -0.35312789008981615]","[-0.2396511946764769, 0.260195664095577, 0.9353424620298167]",0.21096969784532185,-0.0018640050904639976,-0.001250695144619903,-0.654900686541183,69.47587043772805,0.008404447892423067,39.49886795102212,0.20100502512562812
87,1128,486,1320,2.4020729677504438,1.9939461159529246,1.9927819040188053,1.68,1.8,0.4,2.1105527638190953,0.5025125628140703,0.3015075376884422,"[-0.7737481807644491, -0.6330842607353036, -0.022761185666375347]","[-0.5605936968483143, 0.7010002500857977, -0.4408325718836901]","[-0.29503975972340707, 0.32833362329935417, 0.8973007143613961]",0.22177027472699495,-0.00040355262163344974,0.011521719586536099,-0.6541615443868234,61.2642218127145,0.008362941776110688,39.308324222327705,0.20100502512562812
88,143,441,1732,2.3564041664406634,1.99322921647852,2.005812824656118,1.92,1.9000000000000001,0.30000000000000004,1.9597989949748742,0.40201005025125625,0.4522613065326633,"[-0.7018882877022462, -0.7055942964086092, -0.09741416971903533]","[-0.5957922352959522, 0.5066259318883608, 0.6231867918203203]","[0.3903645013925599, -0.495446116155824, 0.7759824109080361]",0.14519037904322518,-0.02564113378963511,-0.009974130486904731,-0.5842739224697087,62.01953978103432,0.005767400779151136,45.42130140316545,0.05025125628140703
